Month,Product_Category,Previous_Sales,Seasonality_Factor,Demand
7,Snacks,85,1.4,132
4,Confectionery,491,1.0,567
11,Snacks,253,1.6,369
8,Beverages,471,1.2,551
5,Confectionery,316,1.3,386
7,Snacks,317,1.4,367
10,Snacks,219,1.4,327
3,Snacks,88,1.2,119
7,Beverages,188,1.4,242
11,Beverages,341,1.6,652
11,Snacks,101,1.6,134
8,Snacks,336,1.2,429
5,Beverages,338,1.3,430
4,Snacks,190,1.0,185
8,Snacks,195,1.2,230
8,Beverages,474,1.2,513
3,Snacks,363,1.2,473
6,Snacks,233,1.5,380
5,Snacks,201,1.3,238
2,Beverages,250,1.1,311
8,Snacks,177,1.2,196
12,Beverages,336,1.8,659
6,Beverages,360,1.5,458
2,Confectionery,302,1.1,288
12,Confectionery,315,1.8,525
5,Snacks,237,1.3,319
1,Beverages,435,1.0,460
12,Confectionery,279,1.8,481
10,Snacks,320,1.4,372
6,Confectionery,308,1.5,438
12,Confectionery,348,1.8,673
9,Beverages,464,1.3,644
1,Beverages,247,1.0,213
11,Confectionery,372,1.6,478
11,Confectionery,105,1.6,185
10,Beverages,368,1.4,434
12,Snacks,252,1.8,377
12,Beverages,320,1.8,461
3,Confectionery,158,1.2,184
12,Snacks,165,1.8,297
7,Confectionery,141,1.4,208
4,Snacks,187,1.0,171
9,Confectionery,471,1.3,663
3,Snacks,352,1.2,366
5,Snacks,106,1.3,156
3,Confectionery,99,1.2,122
7,Snacks,120,1.4,173
5,Beverages,448,1.3,514
9,Confectionery,451,1.3,486
7,Beverages,131,1.4,180
2,Confectionery,421,1.1,484
4,Snacks,154,1.0,129
9,Snacks,137,1.3,210
12,Snacks,51,1.8,109
2,Confectionery,409,1.1,458
10,Beverages,133,1.4,219
9,Beverages,92,1.3,104
10,Confectionery,203,1.4,230
5,Confectionery,376,1.3,398
2,Beverages,471,1.1,536
4,Beverages,143,1.0,117
12,Beverages,347,1.8,739
12,Beverages,182,1.8,280
7,Confectionery,444,1.4,573
12,Confectionery,114,1.8,231
8,Snacks,339,1.2,361
3,Beverages,425,1.2,457
1,Snacks,306,1.0,323
4,Confectionery,435,1.0,396
2,Confectionery,262,1.1,255
8,Snacks,197,1.2,213
4,Beverages,110,1.0,109
2,Beverages,198,1.1,258
6,Beverages,137,1.5,232
6,Beverages,373,1.5,511
10,Snacks,432,1.4,571
4,Snacks,445,1.0,438
6,Confectionery,327,1.5,584
2,Beverages,453,1.1,433
10,Beverages,131,1.4,172
12,Beverages,178,1.8,349
2,Snacks,335,1.1,436
10,Beverages,431,1.4,520
4,Snacks,402,1.0,358
8,Beverages,329,1.2,351
7,Beverages,319,1.4,361
12,Confectionery,341,1.8,639
